X1,X2,Gender,y
61,80,1,1
49,43,2,0
42,44,1,0
50,81,1,1
48,45,1,0
64,59,1,1
43,66,1,1
41,66,1,1
36,73,2,0
63,74,1,1
49,61,1,0
68,77,1,1
68,67,1,0
66,35,1,0
63,62,1,1
51,50,1,0
42,43,2,0
51,75,1,1
40,56,2,0
62,50,1,0
39,33,2,0
59,69,1,1
60,73,2,1
52,69,1,0
59,39,1,0
38,48,2,0
69,61,1,1
52,65,2,1
33,53,2,0
55,60,1,1
55,81,2,1
37,43,2,0
56,71,2,0
51,73,1,0
64,85,1,1
45,70,1,0
59,60,1,1
58,81,1,0
41,44,2,0
57,68,1,0
52,35,2,1
52,46,2,1
54,48,2,0
61,43,1,0
35,64,2,1
48,65,1,0
35,53,2,0
51,61,1,0
57,57,1,0
41,79,1,0
41,67,1,1
66,53,1,0
64,76,1,1
30,41,2,0
40,56,2,0
55,62,1,1
57,67,1,1
52,68,1,1
49,70,1,0
54,53,2,0
51,99,1,1
43,91,1,0
60,59,2,0
35,64,2,1
68,65,1,0
40,64,2,0
61,80,1,1
41,49,2,0
55,83,1,1
47,72,1,1
65,59,1,1
36,67,2,1
43,48,1,0
48,63,2,0
44,41,2,0
54,68,1,0
51,89,1,1
55,61,1,1
54,54,2,1
69,35,1,0
48,44,2,1
59,57,2,1
69,35,1,1
34,48,2,0
54,62,1,0
56,45,2,0
69,69,1,1
45,70,1,1
47,61,2,1
51,52,2,1
30,64,2,0
37,49,2,0
45,70,1,1
37,47,2,0
44,62,1,0
59,56,1,1
58,79,1,1
64,48,1,0
46,74,1,1
49,64,1,1
58,62,1,1
43,76,1,0
69,73,1,1
60,72,1,0
40,72,1,1
52,45,2,0
57,72,1,1
69,78,1,1
64,82,1,1
69,36,1,0
62,42,1,1
42,91,1,1
56,39,1,0
68,47,1,1
42,51,1,0
37,56,2,1
50,79,1,0
40,57,2,0
60,62,1,1
41,73,1,0
58,56,1,1
35,65,2,0
57,56,1,1
31,68,2,1
53,60,2,1
51,93,1,1
32,52,2,0
