# of Features,Random Seed,Feature Name,Label,Metric,Value
1,7839,"(17,)",0,Error Rate,0.3425925925925926
1,7839,"(17,)",0,FPR,0.29777777777777775
1,7839,"(17,)",0,FNR,0.4444444444444444
1,7839,"(17,)",1,Error Rate,0.3425925925925926
1,7839,"(17,)",1,FPR,0.29777777777777775
1,7839,"(17,)",1,FNR,0.4444444444444444
1,1236,"(17,)",0,Error Rate,0.3333333333333333
1,1236,"(17,)",0,FPR,0.27555555555555555
1,1236,"(17,)",0,FNR,0.46464646464646464
1,1236,"(17,)",1,Error Rate,0.3333333333333333
1,1236,"(17,)",1,FPR,0.27555555555555555
1,1236,"(17,)",1,FNR,0.46464646464646464
1,4576,"(17,)",0,Error Rate,0.3487654320987654
1,4576,"(17,)",0,FPR,0.30666666666666664
1,4576,"(17,)",0,FNR,0.4444444444444444
1,4576,"(17,)",1,Error Rate,0.3487654320987654
1,4576,"(17,)",1,FPR,0.30666666666666664
1,4576,"(17,)",1,FNR,0.4444444444444444
1,789,"(17,)",0,Error Rate,0.3487654320987654
1,789,"(17,)",0,FPR,0.30666666666666664
1,789,"(17,)",0,FNR,0.4444444444444444
1,789,"(17,)",1,Error Rate,0.3487654320987654
1,789,"(17,)",1,FPR,0.30666666666666664
1,789,"(17,)",1,FNR,0.4444444444444444
1,101112,"(17,)",0,Error Rate,0.3487654320987654
1,101112,"(17,)",0,FPR,0.30666666666666664
1,101112,"(17,)",0,FNR,0.4444444444444444
1,101112,"(17,)",1,Error Rate,0.3487654320987654
1,101112,"(17,)",1,FPR,0.30666666666666664
1,101112,"(17,)",1,FNR,0.4444444444444444
1,7839,"(27,)",0,Error Rate,0.37037037037037035
1,7839,"(27,)",0,FPR,0.37777777777777777
1,7839,"(27,)",0,FNR,0.35353535353535354
1,7839,"(27,)",1,Error Rate,0.37037037037037035
1,7839,"(27,)",1,FPR,0.37777777777777777
1,7839,"(27,)",1,FNR,0.35353535353535354
1,1236,"(27,)",0,Error Rate,0.37037037037037035
1,1236,"(27,)",0,FPR,0.37777777777777777
1,1236,"(27,)",0,FNR,0.35353535353535354
1,1236,"(27,)",1,Error Rate,0.37037037037037035
1,1236,"(27,)",1,FPR,0.37777777777777777
1,1236,"(27,)",1,FNR,0.35353535353535354
1,4576,"(27,)",0,Error Rate,0.37037037037037035
1,4576,"(27,)",0,FPR,0.37777777777777777
1,4576,"(27,)",0,FNR,0.35353535353535354
1,4576,"(27,)",1,Error Rate,0.37037037037037035
1,4576,"(27,)",1,FPR,0.37777777777777777
1,4576,"(27,)",1,FNR,0.35353535353535354
1,789,"(27,)",0,Error Rate,0.37037037037037035
1,789,"(27,)",0,FPR,0.37777777777777777
1,789,"(27,)",0,FNR,0.35353535353535354
1,789,"(27,)",1,Error Rate,0.37037037037037035
1,789,"(27,)",1,FPR,0.37777777777777777
1,789,"(27,)",1,FNR,0.35353535353535354
1,101112,"(27,)",0,Error Rate,0.37037037037037035
1,101112,"(27,)",0,FPR,0.37777777777777777
1,101112,"(27,)",0,FNR,0.35353535353535354
1,101112,"(27,)",1,Error Rate,0.37037037037037035
1,101112,"(27,)",1,FPR,0.37777777777777777
1,101112,"(27,)",1,FNR,0.35353535353535354
1,7839,"(20,)",0,Error Rate,0.36728395061728397
1,7839,"(20,)",0,FPR,0.37777777777777777
1,7839,"(20,)",0,FNR,0.3434343434343434
1,7839,"(20,)",1,Error Rate,0.36728395061728397
1,7839,"(20,)",1,FPR,0.37777777777777777
1,7839,"(20,)",1,FNR,0.3434343434343434
1,1236,"(20,)",0,Error Rate,0.37037037037037035
1,1236,"(20,)",0,FPR,0.38222222222222224
1,1236,"(20,)",0,FNR,0.3434343434343434
1,1236,"(20,)",1,Error Rate,0.37037037037037035
1,1236,"(20,)",1,FPR,0.38222222222222224
1,1236,"(20,)",1,FNR,0.3434343434343434
1,4576,"(20,)",0,Error Rate,0.36728395061728397
1,4576,"(20,)",0,FPR,0.37777777777777777
1,4576,"(20,)",0,FNR,0.3434343434343434
1,4576,"(20,)",1,Error Rate,0.36728395061728397
1,4576,"(20,)",1,FPR,0.37777777777777777
1,4576,"(20,)",1,FNR,0.3434343434343434
1,789,"(20,)",0,Error Rate,0.37037037037037035
1,789,"(20,)",0,FPR,0.38222222222222224
1,789,"(20,)",0,FNR,0.3434343434343434
1,789,"(20,)",1,Error Rate,0.37037037037037035
1,789,"(20,)",1,FPR,0.38222222222222224
1,789,"(20,)",1,FNR,0.3434343434343434
1,101112,"(20,)",0,Error Rate,0.36728395061728397
1,101112,"(20,)",0,FPR,0.37777777777777777
1,101112,"(20,)",0,FNR,0.3434343434343434
1,101112,"(20,)",1,Error Rate,0.36728395061728397
1,101112,"(20,)",1,FPR,0.37777777777777777
1,101112,"(20,)",1,FNR,0.3434343434343434
2,7839,"(17, 27)",0,Error Rate,0.37037037037037035
2,7839,"(17, 27)",0,FPR,0.37777777777777777
2,7839,"(17, 27)",0,FNR,0.35353535353535354
2,7839,"(17, 27)",1,Error Rate,0.37037037037037035
2,7839,"(17, 27)",1,FPR,0.37777777777777777
2,7839,"(17, 27)",1,FNR,0.35353535353535354
2,1236,"(17, 27)",0,Error Rate,0.37037037037037035
2,1236,"(17, 27)",0,FPR,0.37777777777777777
2,1236,"(17, 27)",0,FNR,0.35353535353535354
2,1236,"(17, 27)",1,Error Rate,0.37037037037037035
2,1236,"(17, 27)",1,FPR,0.37777777777777777
2,1236,"(17, 27)",1,FNR,0.35353535353535354
2,4576,"(17, 27)",0,Error Rate,0.37037037037037035
2,4576,"(17, 27)",0,FPR,0.37777777777777777
2,4576,"(17, 27)",0,FNR,0.35353535353535354
2,4576,"(17, 27)",1,Error Rate,0.37037037037037035
2,4576,"(17, 27)",1,FPR,0.37777777777777777
2,4576,"(17, 27)",1,FNR,0.35353535353535354
2,789,"(17, 27)",0,Error Rate,0.37037037037037035
2,789,"(17, 27)",0,FPR,0.37777777777777777
2,789,"(17, 27)",0,FNR,0.35353535353535354
2,789,"(17, 27)",1,Error Rate,0.37037037037037035
2,789,"(17, 27)",1,FPR,0.37777777777777777
2,789,"(17, 27)",1,FNR,0.35353535353535354
2,101112,"(17, 27)",0,Error Rate,0.37037037037037035
2,101112,"(17, 27)",0,FPR,0.37777777777777777
2,101112,"(17, 27)",0,FNR,0.35353535353535354
2,101112,"(17, 27)",1,Error Rate,0.37037037037037035
2,101112,"(17, 27)",1,FPR,0.37777777777777777
2,101112,"(17, 27)",1,FNR,0.35353535353535354
2,7839,"(17, 20)",0,Error Rate,0.36728395061728397
2,7839,"(17, 20)",0,FPR,0.37777777777777777
2,7839,"(17, 20)",0,FNR,0.3434343434343434
2,7839,"(17, 20)",1,Error Rate,0.36728395061728397
2,7839,"(17, 20)",1,FPR,0.37777777777777777
2,7839,"(17, 20)",1,FNR,0.3434343434343434
2,1236,"(17, 20)",0,Error Rate,0.37037037037037035
2,1236,"(17, 20)",0,FPR,0.38222222222222224
2,1236,"(17, 20)",0,FNR,0.3434343434343434
2,1236,"(17, 20)",1,Error Rate,0.37037037037037035
2,1236,"(17, 20)",1,FPR,0.38222222222222224
2,1236,"(17, 20)",1,FNR,0.3434343434343434
2,4576,"(17, 20)",0,Error Rate,0.37037037037037035
2,4576,"(17, 20)",0,FPR,0.38222222222222224
2,4576,"(17, 20)",0,FNR,0.3434343434343434
2,4576,"(17, 20)",1,Error Rate,0.37037037037037035
2,4576,"(17, 20)",1,FPR,0.38222222222222224
2,4576,"(17, 20)",1,FNR,0.3434343434343434
2,789,"(17, 20)",0,Error Rate,0.36728395061728397
2,789,"(17, 20)",0,FPR,0.37777777777777777
2,789,"(17, 20)",0,FNR,0.3434343434343434
2,789,"(17, 20)",1,Error Rate,0.36728395061728397
2,789,"(17, 20)",1,FPR,0.37777777777777777
2,789,"(17, 20)",1,FNR,0.3434343434343434
2,101112,"(17, 20)",0,Error Rate,0.36728395061728397
2,101112,"(17, 20)",0,FPR,0.37777777777777777
2,101112,"(17, 20)",0,FNR,0.3434343434343434
2,101112,"(17, 20)",1,Error Rate,0.36728395061728397
2,101112,"(17, 20)",1,FPR,0.37777777777777777
