G,age,job,X1,X2,D
M,30.066104895196514,E,1.683,0.154,Y
M,35.14186986396578,F,0.609,-0.926,N
M,31.24780876752274,F,1.355,-1.353,Y
M,28.788038507009098,E,0.705,0.789,Y
F,47.50593482720037,F,1.279,0.181,Y
M,30.09875819517927,E,1.246,-0.635,Y
F,47.24609851753712,F,-0.548,1.038,N
M,24.423617323393554,E,1.121,-1.107,Y
M,25.59052349967575,F,1.415,0.532,N
F,42.542990499953575,F,-0.275,0.103,Y
M,22.862414421336084,F,0.476,0.724,N
M,26.206972062090063,F,1.297,-1.715,Y
M,33.304736376176564,F,1.841,-0.929,Y
M,31.033512852069656,E,1.577,0.546,N
F,42.821079516846744,F,0.06,0.62,Y
F,38.586828023852306,F,0.958,-0.681,Y
F,43.67042911395545,F,-1.361,0.503,Y
M,31.432934305636785,E,2.206,-1.106,Y
M,30.391971845372584,E,1.004,-0.23,Y
M,26.66388447406648,E,2.308,-1.22,N
M,28.674908645589806,E,2.042,-1.949,Y
M,33.46387150811031,F,0.985,1.203,Y
F,45.63837356604054,F,-2.053,-0.406,N
M,32.52600085076341,E,0.933,0.498,Y
F,44.07363500326893,E,1.06,0.182,Y
M,29.469830243893536,E,1.55,-0.651,Y
F,46.887988287288074,F,-0.484,-0.354,Y
M,25.960606186888786,E,1.34,0.208,Y
M,33.86946641657678,F,-0.337,-0.009,N
F,48.11181824578875,F,0.326,0.256,N
F,45.38761319287229,F,-0.227,2.173,N
M,33.78470118232609,E,-0.417,-0.83,N
F,43.91980182406802,F,1.187,-0.316,Y
M,27.97449327923571,E,2.127,-1.297,Y
F,47.41554325509131,E,-2.132,-2.053,N
M,34.88143928483686,F,1.264,0.307,Y
M,26.835711470814122,E,1.808,-0.22,N
M,30.360025122865764,F,2.557,1.01,Y
M,26.603175010992807,E,1.359,-0.012,Y
M,25.126299687357882,E,1.549,-0.127,Y
F,42.549132666350495,F,-1.948,-0.987,N
F,41.89335199114123,F,1.885,0.346,Y
M,33.22853196830879,E,0.282,-2.347,Y
F,47.3898034958748,F,-0.325,1.398,N
M,33.32801451032055,E,0.883,-1.028,N
