X1,X2,Gender,y
32,82,2,0
58,75,2,1
69,50,1,1
55,55,1,1
55,50,1,0
45,71,1,0
53,97,1,1
60,63,1,1
56,81,1,1
48,80,1,1
37,77,2,0
61,74,1,1
57,81,1,1
50,47,1,1
32,40,2,0
43,48,2,0
30,72,2,0
44,57,2,0
34,64,2,0
53,81,1,1
56,51,1,0
37,31,2,0
30,66,2,0
40,60,2,0
33,93,2,0
44,60,2,0
42,74,1,0
43,62,1,0
38,23,2,0
43,50,2,0
54,51,2,1
68,36,1,1
38,56,2,0
58,60,1,0
49,70,1,0
57,52,2,0
40,69,2,0
55,44,1,1
50,58,2,0
52,76,2,1
32,55,2,1
53,61,1,0
31,60,2,0
50,53,1,0
31,59,2,0
31,66,2,0
42,76,1,1
62,76,1,1
73,35,2,0
74,98,1,1
59,38,2,1
48,41,2,1
31,47,2,0
69,53,1,0
42,57,1,1
41,40,1,1
51,32,1,0
62,80,1,1
32,65,2,0
58,75,2,0
31,55,2,0
63,50,1,0
97,55,2,1
40,68,1,0
60,57,1,1
56,77,1,0
42,53,1,0
41,57,1,0
45,94,2,0
57,43,1,0
36,64,2,0
36,57,2,0
60,36,1,0
51,68,1,0
58,46,2,1
59,71,1,1
67,58,1,1
40,71,2,0
44,70,1,0
66,63,1,1
48,87,1,1
37,33,2,0
64,57,1,1
31,57,2,0
48,63,2,1
58,51,2,1
60,59,1,0
64,68,1,1
35,62,2,0
50,49,1,0
61,73,1,1
42,72,1,0
83,50,1,1
32,46,2,0
54,53,1,0
37,50,2,1
41,64,2,1
42,63,1,0
63,67,1,1
40,48,1,0
63,57,1,1
63,99,1,1
63,87,1,1
59,56,1,0
41,59,2,1
64,62,1,1
55,40,1,1
65,64,1,1
47,77,1,1
32,46,2,1
63,81,1,1
63,83,1,1
65,48,1,1
59,86,1,1
32,47,2,0
70,41,1,0
53,58,1,0
44,39,2,0
53,62,1,0
52,28,2,0
64,44,2,1
45,65,1,0
76,68,2,1
36,54,1,0
41,76,1,1
43,52,2,1
59,61,2,0
53,78,2,1
58,70,1,1
64,95,1,1
57,89,2,1
69,79,1,1
58,53,2,0
57,43,2,0
53,44,2,0
37,50,2,0
65,65,1,1
55,48,1,0
45,63,2,1
63,55,1,1
53,54,2,0
31,28,2,0
55,60,1,0
63,72,1,1
57,68,1,1
33,62,2,0
54,74,1,1
56,48,1,0
57,78,1,1
69,70,1,1
30,53,1,0
58,56,1,1
32,50,2,0
51,70,2,1
42,39,2,0
48,73,1,0
41,73,2,1
59,86,1,1
65,72,1,1
54,81,1,1
41,57,2,0
55,60,1,0
48,62,1,0
56,60,1,1
43,84,1,1
54,68,1,1
52,66,1,0
58,72,2,1
49,64,1,1
46,49,1,0
46,58,1,1
61,71,1,1
48,61,2,1
51,84,2,0
58,75,1,1
30,61,2,0
76,75,2,0
37,42,2,1
44,60,2,0
54,57,1,0
61,45,1,1
47,90,1,1
60,50,1,0
88,52,2,1
51,55,2,0
63,65,1,0
32,42,2,1
32,38,2,0
50,68,1,1
50,82,1,1
68,56,1,0
42,52,2,1
62,59,1,1
61,42,1,0
56,51,1,0
66,66,1,1
40,62,1,0
33,31,2,0
60,55,2,1
46,65,1,0
65,50,1,1
48,72,1,1
49,45,1,0
53,89,1,1
42,41,1,0
68,82,1,1
50,79,1,1
68,81,1,1
51,77,1,0
50,70,1,1
64,55,1,1
36,83,2,0
33,80,1,0
61,59,1,1
58,59,1,0
62,55,1,1
53,65,1,0
62,77,1,1
58,80,1,1
32,32,2,0
37,64,1,0
55,63,1,0
33,53,2,0
66,81,1,1
37,76,2,1
53,116,1,1
50,101,1,1
31,51,2,1
96,51,2,1
51,65,1,0
65,72,1,1
58,71,1,0
63,95,1,1
43,72,1,0
38,79,2,1
65,75,1,1
46,72,1,1
50,48,1,0
39,76,2,1
42,67,1,1
41,64,1,0
71,82,1,1
68,54,1,1
66,57,1,1
39,64,1,0
36,63,2,1
45,50,1,0
45,80,1,1
48,47,1,0
58,75,1,1
62,86,1,1
58,71,1,1
70,59,1,1
46,51,2,1
73,79,1,1
51,86,1,1
44,57,1,0
38,30,2,0
54,81,1,1
34,67,2,1
67,81,1,1
48,53,1,0
30,57,2,0
58,59,1,1
46,92,1,1
59,54,1,1
66,59,1,0
35,63,2,1
48,62,1,0
57,91,1,1
43,43,2,0
32,38,2,0
37,28,2,0
46,63,2,0
72,64,2,1
94,62,2,1
73,56,1,1
47,65,1,1
33,59,2,0
80,67,1,1
36,53,2,0
46,29,1,0
64,78,1,1
67,75,1,1
47,61,2,0
50,70,2,0
64,48,1,0
41,54,2,1
37,57,2,0
31,71,2,0
48,55,2,0
36,54,2,0
52,75,1,1
49,65,1,0
35,61,2,0
43,63,1,0
31,37,2,0
56,51,2,1
51,52,1,1
36,31,2,0
61,85,1,1
66,80,1,1
68,81,1,1
58,71,2,1
43,53,2,0
36,54,2,0
46,51,1,0
61,59,1,1
37,71,2,1
54,53,1,1
35,39,2,0
55,32,2,0
49,44,2,1
62,84,1,1
52,80,1,1
55,67,1,1
55,55,1,1
55,71,1,1
58,66,1,1
30,60,2,0
32,56,2,1
50,72,2,0
52,68,1,1
58,57,2,0
44,47,1,0
47,50,1,0
47,45,2,0
53,84,1,1
53,86,1,1
52,49,1,1
50,68,1,1
54,49,1,1
42,80,1,1
46,55,2,0
54,85,1,1
38,43,2,0
43,28,2,0
50,69,1,0
58,50,1,0
48,54,2,0
48,53,1,1
60,72,1,1
62,55,1,1
42,47,2,0
54,72,1,1
64,63,1,1
46,67,2,1
67,44,1,1
54,63,1,1
50,59,1,0
53,48,1,0
37,43,2,0
51,75,1,1
68,83,1,1
54,97,1,1
62,41,1,0
57,63,1,1
64,81,1,1
37,41,2,0
35,65,2,0
40,71,1,0
37,63,2,0
47,60,1,1
59,38,2,0
70,60,1,1
56,57,1,1
63,36,1,0
57,62,1,1
52,68,2,0
81,70,1,1
62,70,1,1
68,54,1,1
43,78,2,1
61,76,1,1
33,67,2,1
34,39,2,0
69,64,1,1
52,49,1,1
55,84,1,1
36,76,2,1
49,98,1,1
40,80,1,1
51,66,1,1
45,65,1,1
48,58,2,0
38,42,2,0
54,65,2,1
40,21,2,0
68,62,1,1
59,73,1,1
58,52,1,0
44,54,1,0
52,67,1,0
45,64,2,1
67,60,1,1
35,43,2,0
38,71,2,1
55,71,1,0
30,76,2,0
45,49,2,0
48,84,1,1
65,74,1,1
50,76,1,0
36,49,2,0
44,83,1,1
50,58,1,1
37,73,2,0
38,52,1,0
48,43,1,0
36,63,2,0
62,45,2,1
37,57,1,0
35,73,2,1
33,61,2,0
46,55,1,0
32,42,2,0
33,6,2,0
65,100,1,1
51,84,1,1
45,58,1,0
63,43,1,0
57,76,1,1
39,47,2,0
38,63,1,0
62,42,1,0
44,64,1,1
69,28,1,0
52,82,2,1
46,77,1,1
51,81,1,1
43,47,2,0
54,64,1,1
44,54,2,0
42,50,1,0
44,57,1,0
49,94,1,1
33,19,2,0
56,74,1,1
58,73,1,1
41,68,2,0
65,61,1,1
46,75,2,0
48,61,2,0
66,77,1,1
70,46,1,1
69,85,1,1
33,72,2,0
56,37,2,0
66,48,1,1
55,55,1,0
63,64,1,1
31,49,2,0
32,22,2,0
59,54,1,0
58,50,2,0
41,81,1,0
67,58,1,1
57,36,1,0
48,58,1,0
30,47,2,1
70,51,1,1
56,71,1,1
44,47,2,0
49,67,1,1
61,57,1,0
42,53,1,0
32,52,2,0
48,61,1,1
39,43,2,0
47,73,1,0
54,50,2,0
35,61,1,0
64,68,1,1
65,71,1,1
50,84,1,1
43,69,2,1
63,72,1,1
79,48,1,1
46,89,2,0
57,71,1,1
57,52,2,1
34,55,2,0
32,57,2,0
47,81,1,0
68,80,1,1
51,83,1,1
52,61,1,1
57,60,1,1
40,53,2,1
55,40,2,0
47,68,1,1
64,79,1,1
49,45,2,0
66,55,1,1
53,57,2,1
48,64,1,0
57,69,1,1
56,52,1,1
60,62,2,1
26,73,1,0
39,55,2,0
53,68,1,1
58,41,2,1
42,54,2,0
31,47,2,0
31,60,2,1
56,57,1,1
52,61,2,0
58,30,1,0
49,61,2,1
38,49,2,0
69,56,1,1
50,51,1,0
68,90,1,1
63,66,1,0
39,60,2,1
49,66,2,1
64,81,1,1
61,66,1,1
61,40,1,0
38,55,2,0
44,39,1,0
59,57,2,0
65,44,1,1
48,84,1,1
48,69,1,0
43,57,1,1
32,53,2,0
57,33,1,0
56,69,1,0
43,72,1,1
37,48,1,0
52,62,1,0
39,80,2,1
59,93,1,1
52,46,2,0
50,57,2,0
62,63,1,0
32,77,2,1
30,40,2,0
50,53,2,1
33,59,2,1
44,97,1,1
54,50,1,0
36,37,2,0
59,63,1,1
44,65,1,0
58,70,1,1
54,83,1,1
62,69,1,0
47,77,1,1
36,53,2,0
55,28,2,0
