X1,X2,Gender,y
49,32,1,0
55,53,2,0
29,48,2,0
46,74,2,1
48,68,2,1
51,57,2,0
63,65,1,1
64,43,1,1
63,67,1,1
33,43,2,0
71,88,1,1
38,57,2,0
47,74,1,0
37,69,1,0
73,78,1,1
38,68,1,1
40,59,1,0
63,56,1,1
49,47,2,0
38,44,1,0
78,75,1,1
35,71,1,1
65,53,1,1
44,51,2,1
54,69,1,0
56,56,2,0
45,81,1,1
52,72,1,1
61,45,2,0
70,42,2,0
51,78,2,1
47,33,2,0
61,74,1,1
75,57,2,1
27,26,2,0
50,55,2,1
62,77,1,1
70,75,1,1
30,56,2,0
40,68,1,0
39,77,1,0
61,87,1,1
39,84,1,1
56,54,1,0
31,72,2,0
25,57,2,0
47,58,1,0
60,78,1,1
69,72,1,1
49,85,1,1
23,51,2,0
53,37,1,0
34,43,1,0
67,58,2,1
43,38,2,1
64,56,1,1
49,60,1,0
45,60,2,1
41,78,2,0
65,56,1,1
51,29,2,0
58,65,1,0
43,48,2,0
60,65,1,1
72,47,1,1
60,48,1,0
73,76,1,1
60,66,2,1
57,80,1,1
52,48,1,0
60,69,1,1
58,72,1,1
61,68,1,1
58,48,1,0
47,56,2,0
61,70,1,1
67,64,1,1
13,56,2,0
48,63,2,1
62,99,1,1
58,68,1,1
44,54,2,0
53,68,1,1
73,62,1,1
52,79,1,1
58,57,1,0
42,78,1,0
61,73,1,1
47,51,2,1
70,70,1,1
51,70,2,1
59,61,2,1
55,33,2,0
48,82,1,1
53,77,1,0
56,81,1,1
44,94,2,0
49,65,2,0
52,65,1,1
54,59,2,0
33,79,2,0
42,42,2,0
68,87,1,1
32,57,2,0
45,49,2,0
55,54,1,0
39,86,1,0
47,70,1,0
47,56,1,0
54,87,1,1
36,69,2,0
22,58,2,0
68,61,1,1
52,29,2,0
42,88,1,0
57,85,1,1
51,75,2,0
34,58,2,0
63,68,1,1
29,77,2,0
39,70,1,0
59,64,1,1
51,49,1,0
54,48,2,1
57,58,1,0
58,54,1,1
47,38,1,0
58,57,1,0
35,55,2,0
54,49,1,0
39,47,1,0
49,75,1,1
75,91,1,1
23,40,2,1
63,47,1,1
48,54,2,0
45,43,2,0
42,58,1,0
39,25,2,0
61,70,1,1
29,47,2,0
52,48,2,1
48,88,1,1
50,51,2,1
34,61,1,0
39,79,2,0
51,65,1,1
58,50,1,1
57,79,1,1
45,71,1,1
69,87,1,1
45,72,1,1
51,50,1,0
65,37,2,1
54,55,1,1
77,47,1,1
23,59,2,0
52,49,2,0
47,42,1,0
40,70,1,1
41,46,2,0
49,88,1,1
68,40,2,0
45,18,2,0
39,32,1,0
65,57,1,1
32,40,2,0
58,56,2,1
57,83,1,1
42,95,1,0
50,43,2,1
60,54,1,1
48,63,1,0
48,69,1,1
42,55,2,0
65,77,1,1
52,48,1,0
57,58,1,0
47,78,1,0
26,29,2,0
61,57,1,1
53,28,2,0
45,45,2,0
48,70,1,0
60,69,1,1
50,49,1,0
47,48,2,0
65,51,2,0
65,53,1,1
65,89,1,1
49,44,1,0
18,64,2,0
56,69,1,0
30,57,2,0
63,106,1,1
42,84,1,0
52,46,1,0
31,64,1,0
47,84,1,1
61,64,2,1
64,59,1,0
59,62,1,1
65,88,1,1
32,54,2,0
49,57,1,1
65,67,1,1
54,69,1,1
37,43,2,0
67,57,1,1
40,23,2,0
70,52,1,1
59,67,1,1
74,56,1,1
39,60,1,0
46,76,2,1
50,26,1,0
46,82,2,1
56,50,1,0
44,59,1,0
66,60,1,1
44,57,1,0
53,63,1,0
58,34,2,0
48,39,1,0
16,66,2,0
64,86,1,1
26,50,2,0
54,67,1,1
46,63,1,0
61,73,1,1
65,54,1,1
60,49,2,1
56,52,2,0
73,62,1,1
47,72,1,1
40,55,2,0
49,71,1,1
55,59,1,0
59,75,1,1
60,26,2,0
68,67,1,1
73,82,1,1
71,93,1,1
73,69,1,1
40,54,2,0
53,26,1,0
59,91,1,1
37,67,1,0
61,64,2,1
54,74,1,1
54,64,2,0
60,50,1,0
69,60,1,1
50,78,2,0
30,47,2,1
51,43,2,0
16,53,2,0
75,48,1,1
45,62,2,0
28,64,2,0
36,42,2,0
70,47,1,1
47,51,2,0
72,57,2,1
50,84,1,1
24,80,2,1
43,76,1,1
65,70,1,1
32,60,2,1
68,56,1,1
43,75,2,1
41,90,1,1
56,83,1,1
49,59,2,1
58,54,2,0
35,75,1,1
47,45,2,1
44,22,2,0
65,100,1,1
61,66,2,0
58,48,2,0
25,67,2,0
61,54,1,0
62,61,1,1
69,56,2,0
43,60,2,0
40,57,2,0
50,57,2,1
53,46,2,0
64,81,1,1
60,55,2,0
50,61,1,0
32,73,2,0
60,80,1,0
65,78,1,1
64,64,1,1
61,69,1,1
45,73,2,1
56,66,2,0
69,90,1,1
56,77,2,1
50,47,1,0
39,41,2,0
58,46,2,1
51,71,1,1
42,72,2,0
74,66,1,1
44,84,1,1
74,69,1,1
45,73,2,1
23,52,2,0
75,53,1,1
39,69,2,1
52,85,1,1
84,59,2,1
66,89,1,1
51,37,2,0
62,75,1,1
36,88,1,0
42,55,2,1
63,89,1,1
54,72,1,0
56,43,2,0
54,63,1,1
9,46,2,0
60,85,1,1
51,70,2,0
56,61,1,1
52,77,1,1
56,27,2,0
57,85,1,1
32,59,2,0
66,42,1,0
54,77,1,1
61,67,2,1
67,64,1,1
33,64,2,1
59,65,1,1
36,46,2,0
56,50,1,0
56,53,1,0
59,68,2,1
40,62,1,0
53,49,2,1
43,81,1,1
82,93,1,1
49,82,1,1
50,25,1,0
35,70,2,0
55,65,1,1
39,49,2,0
52,67,1,1
65,52,2,1
43,50,1,0
52,34,2,1
46,53,2,0
59,79,1,1
49,78,1,1
40,64,1,0
60,78,1,1
57,39,1,0
61,73,1,0
47,27,2,1
40,77,1,0
51,50,1,0
37,36,1,0
44,50,1,0
40,46,1,0
49,88,1,1
37,84,1,1
59,59,1,0
69,68,1,1
66,60,1,1
60,47,1,1
42,65,2,0
59,53,1,0
58,28,1,0
49,79,1,1
39,47,2,0
38,65,2,1
54,41,2,0
30,46,2,0
26,55,2,0
50,62,1,0
65,65,1,0
25,31,2,1
53,65,1,1
46,35,2,0
65,47,2,1
52,100,1,1
44,54,1,0
59,53,1,0
45,29,2,0
50,82,1,1
48,85,1,0
62,61,1,0
46,70,1,0
40,35,2,1
65,69,1,1
37,48,2,0
50,75,1,0
44,62,2,1
74,61,1,1
41,54,2,0
64,34,1,1
52,80,1,1
51,51,2,0
61,83,1,1
27,71,2,0
51,35,2,0
49,78,1,1
42,42,2,0
63,42,2,0
47,21,1,0
43,54,2,0
67,62,1,1
58,63,1,1
50,76,1,1
41,67,2,0
45,69,2,0
40,58,1,0
43,43,2,0
43,61,1,0
45,22,2,0
33,86,2,0
35,70,2,1
67,53,1,1
44,75,2,1
62,47,1,0
57,58,1,0
60,53,1,0
29,37,2,0
29,56,2,0
55,64,1,1
48,57,2,0
51,56,2,0
49,70,1,1
52,75,1,1
30,80,1,0
46,74,1,0
46,34,2,0
62,56,1,0
41,62,2,0
57,41,2,0
47,46,1,0
48,44,1,0
79,42,1,1
42,60,1,0
34,51,2,0
68,61,1,1
36,58,2,0
54,71,1,1
50,62,2,1
68,74,1,1
33,71,2,0
55,66,1,1
37,70,1,0
64,55,1,1
49,60,1,0
57,66,1,1
57,46,1,0
54,55,2,1
52,67,1,1
59,34,1,0
75,34,1,1
67,50,1,1
44,57,1,0
43,69,1,0
45,59,1,1
64,62,1,1
43,56,1,0
46,74,1,0
46,75,1,1
56,62,1,1
50,23,1,0
69,45,1,1
57,49,2,0
36,37,2,0
26,51,2,0
59,47,1,0
41,76,2,0
46,56,2,0
32,56,2,0
32,52,2,0
67,75,1,1
55,55,2,0
35,79,1,0
33,27,2,0
60,90,1,1
54,67,1,1
46,50,1,0
63,97,2,1
45,73,1,1
51,86,1,1
49,64,1,0
43,60,1,0
55,55,1,1
60,52,2,1
49,55,2,0
73,42,2,0
47,46,2,0
44,71,1,1
63,62,1,1
27,72,2,1
39,65,1,0
61,66,1,0
54,46,1,1
44,52,2,0
59,60,1,1
51,92,1,1
50,86,1,1
62,56,1,1
46,88,1,1
34,38,2,0
45,71,1,1
51,74,1,1
47,95,1,1
56,63,1,1
49,57,1,1
52,73,1,0
50,54,1,1
40,52,2,0
52,79,1,0
60,65,1,1
60,45,1,0
29,59,2,1
68,91,1,1
33,92,1,0
53,52,1,0
53,34,1,0
73,91,1,1
59,60,1,0
71,74,1,1
48,55,1,0
38,69,2,0
56,66,2,1
52,60,2,0
63,86,1,1
34,78,1,0
45,73,1,0
68,14,1,1
24,63,2,0
50,67,1,0
65,62,1,1
55,53,2,0
47,71,2,1
24,49,2,0
42,52,2,0
59,67,1,1
62,68,1,1
41,53,2,0
51,15,2,1
30,84,2,1
66,62,2,1
42,69,2,1
61,86,2,1
29,62,2,1
45,72,1,1
47,77,1,0
48,81,1,0
70,56,1,1
34,45,1,0
49,72,1,0
51,51,2,0
51,52,1,0
42,80,1,1
52,61,1,0
62,72,1,1
74,77,1,1
45,45,2,0
48,84,1,0
43,50,2,0
35,46,1,0
47,48,2,0
62,69,1,1
51,95,1,1
53,54,1,1
58,66,1,1
49,43,2,0
47,65,2,0
39,64,2,0
61,77,1,1
77,68,1,1
51,50,2,1
74,55,1,1
49,62,2,0
40,48,1,0
65,64,1,1
31,51,2,0
49,41,1,0
40,43,2,1
58,71,1,1
52,95,1,1
50,57,1,0
55,75,1,1
69,74,1,1
54,74,1,1
51,51,2,0
28,68,2,1
43,42,1,0
33,69,2,0
48,72,2,1
43,70,1,1
57,70,1,1
40,47,1,0
55,35,2,0
55,61,1,1
63,66,1,1
61,69,1,1
29,41,2,0
65,98,1,1
42,83,1,1
42,58,2,1
57,58,1,0
60,62,1,1
37,51,2,0
42,41,1,0
50,73,2,1
60,43,1,0
48,53,1,0
50,47,1,0
58,31,1,0
46,67,2,0
58,66,2,1
41,80,2,0
41,66,2,0
41,66,2,0
46,69,1,0
56,49,1,0
62,68,1,1
67,83,1,1
61,66,1,1
