G,age,job,X1,X2,D
M,25.50354589924529,E,1.852,-1.814,Y
M,27.040078073048058,F,0.886,0.17,N
M,29.378431417023236,E,1.47,-0.13,Y
M,28.181728807024328,F,1.816,0.528,N
F,47.37323416190177,E,-0.469,0.245,N
M,27.582748540334972,F,1.673,-0.324,N
F,41.94167566869598,F,0.345,1.256,Y
M,26.804372299411504,E,1.447,0.755,Y
M,31.285963127399718,E,1.595,0.151,Y
F,46.52887183872396,E,3.38,-0.421,Y
M,24.711265842855084,F,0.605,0.815,Y
M,31.96717449689405,F,-0.611,1.43,Y
M,32.722636539291436,F,1.897,0.13,N
M,24.652595554436513,E,0.881,0.46,Y
F,42.81666411505371,E,0.575,-0.87,Y
F,49.518554592331064,F,-1.227,-0.024,N
F,48.18157294882094,F,2.7,-1.124,N
M,30.07840127248574,E,1.88,0.138,Y
M,31.585089768058957,E,2.431,0.244,Y
M,36.67879247361099,F,0.124,-1.729,Y
M,31.5899836367495,E,0.113,-0.497,N
M,26.139463410199443,E,2.224,1.3,N
F,49.31631610593027,F,-2.125,-0.568,Y
M,27.245849402805938,E,1.278,0.595,N
F,48.14299483681301,E,0.709,0.744,N
M,32.07531005016791,E,0.404,-0.257,Y
F,47.81288883708712,F,-0.085,-0.985,Y
M,34.87285792395317,E,2.152,0.236,N
M,25.36437186723857,E,0.564,0.335,N
F,44.77994166731364,F,0.924,-2.017,N
F,51.15394886748262,F,2.052,0.654,N
M,33.08759017849166,F,1.582,0.101,Y
F,45.560223852487006,E,0.495,0.08,N
M,26.764442468424896,E,1.611,1.622,N
F,45.33747983074413,E,-0.273,1.128,Y
M,27.11637814088894,E,1.575,1.564,Y
M,25.35661597664311,F,0.736,1.733,Y
M,31.8229857242449,E,1.345,0.097,Y
M,30.20651445684523,E,2.172,-0.068,Y
M,27.553937743975574,E,1.27,0.546,Y
F,46.248935834879276,F,-1.29,-1.905,N
F,43.40656026466279,E,1.964,1.764,N
M,35.6274599369387,E,0.959,-1.552,Y
F,44.90332144215214,E,-0.156,-1.22,Y
M,34.98719082240907,F,0.511,-0.18,Y
M,27.42969407437925,E,0.009,-2.693,Y
F,46.93958036363884,F,0.373,0.172,Y
F,50.83029124766798,F,-0.637,0.603,N
F,45.85726495693432,E,-0.63,0.057,Y
F,48.59376294297637,E,-2.626,2.357,N
M,24.502911967312535,F,0.965,-0.208,N
F,47.236156404694945,F,-0.983,-0.452,Y
M,30.096089384710336,E,1.709,-0.242,Y
F,47.419148663067666,F,-0.376,0.466,Y
F,47.74379833542799,E,1.307,-0.633,Y
F,37.86511065669584,F,-1.227,0.121,N
M,28.59720496655414,F,0.447,0.215,N
F,42.88120034796759,E,-0.088,1.344,Y
F,45.481185418732636,F,-0.137,1.275,N
